item_id,v2_mean,v3_mean,mean_change_v3_minus_v2,v2_score_5_pct,v3_score_5_pct,score_5_change_pp
U1,3.994,3.916,-0.078,3.8,0.6,-3.1
U2,4.103,3.913,-0.191,15.3,9.1,-6.2
U3,3.831,3.284,-0.547,31.9,16.9,-15.0
U4,4.269,4.169,-0.100,39.7,40.9,1.2
U5,4.112,4.025,-0.087,38.4,29.4,-9.1
U6,4.688,4.647,-0.041,71.2,71.9,0.6
U7,4.375,4.116,-0.259,57.5,55.0,-2.5
U8,4.556,4.453,-0.103,61.9,55.9,-5.9
U9,4.509,3.841,-0.669,54.7,3.1,-51.6
U10,4.725,4.588,-0.137,77.2,66.9,-10.3
U11,4.838,4.806,-0.031,85.9,85.3,-0.6
U12,4.537,4.428,-0.109,58.1,52.5,-5.6
U13,4.819,3.997,-0.822,84.1,11.9,-72.2
U14,4.791,4.294,-0.497,82.2,35.6,-46.6
U15,4.403,4.372,-0.031,50.0,45.9,-4.1
U16,4.953,4.459,-0.494,96.9,48.1,-48.8
U17,4.950,4.219,-0.731,96.6,24.4,-72.2
U18,4.969,4.509,-0.459,98.1,52.2,-45.9
U19,4.659,4.422,-0.237,67.5,45.0,-22.5
U20,4.647,4.322,-0.325,66.9,38.1,-28.8
