construct,item_id,v2_mean,v3_mean,mean_change_v3_minus_v2,v2_score_5_pct,v3_score_5_pct,score_5_change_pp
Learner-centered feedback,U13,4.819,3.997,-0.822,84.1,11.9,-72.2
Consultation climate,U17,4.950,4.219,-0.731,96.6,24.4,-72.2
Tailoring principles,U9,4.509,3.841,-0.669,54.7,3.1,-51.6
Eliciting learner reasoning,U3,3.831,3.284,-0.547,31.9,16.9,-15.0
Specific detailed feedback,U14,4.791,4.294,-0.497,82.2,35.6,-46.6
Safe learning climate,U16,4.953,4.459,-0.494,96.9,48.1,-48.8
Respect,U18,4.969,4.509,-0.459,98.1,52.2,-45.9
Overall feedback ability,U20,4.647,4.322,-0.325,66.9,38.1,-28.8
Prioritizing urgent diagnoses,U7,4.375,4.116,-0.259,57.5,55.0,-2.5
Teaching enthusiasm,U19,4.659,4.422,-0.237,67.5,45.0,-22.5
Deepening questions,U2,4.103,3.913,-0.191,15.3,9.1,-6.2
Key points with rationale,U10,4.725,4.588,-0.137,77.2,66.9,-10.3
